user_id,step,timestamp
U030,signup_started,20-07-2026 04:15
U100,signup_started,20-07-2026 04:21
U083,signup_started,20-07-2026 04:08
U034,visited_site,20-07-2026 03:58
U105,signup_started,20-07-2026 04:15
U042,visited_site,20-07-2026 04:09
U052,visited_site,20-07-2026 03:32
U025,visited_site,20-07-2026 03:39
U181,details_filled,20-07-2026 04:17
U063,visited_site,20-07-2026 04:08
U120,signup_started,20-07-2026 03:45
U149,signup_started,20-07-2026 03:58
U166,details_filled,20-07-2026 04:39
U018,details_filled,20-07-2026 04:12
U022,visited_site,20-07-2026 04:04
U101,purchase_completed,20-07-2026 04:51
U051,visited_site,20-07-2026 03:35
U066,visited_site,20-07-2026 03:32
U061,visited_site,20-07-2026 03:32
U128,purchase_completed,20-07-2026 04:42
U094,email_verified,20-07-2026 04:28
U010,visited_site,20-07-2026 03:38
U072,email_verified,20-07-2026 04:52
U067,visited_site,20-07-2026 03:39
U109,signup_started,20-07-2026 04:02
U040,visited_site,20-07-2026 03:37
U075,visited_site,20-07-2026 04:03
U033,visited_site,20-07-2026 03:51
U063,email_verified,20-07-2026 04:21
U046,details_filled,20-07-2026 04:09
U121,visited_site,20-07-2026 03:34
U095,email_verified,20-07-2026 04:33
U058,email_verified,20-07-2026 04:37
U117,visited_site,20-07-2026 03:34
U001,details_filled,20-07-2026 04:30
U128,visited_site,20-07-2026 04:09
U180,details_filled,20-07-2026 04:24
U136,signup_started,20-07-2026 03:52
U097,visited_site,20-07-2026 04:05
U076,visited_site,20-07-2026 04:00
U007,visited_site,20-07-2026 03:41
U112,visited_site,20-07-2026 03:56
U009,signup_started,20-07-2026 04:12
U008,visited_site,20-07-2026 03:53
U002,details_filled,20-07-2026 04:02
U032,signup_started,20-07-2026 03:57
U018,signup_started,20-07-2026 03:59
U077,visited_site,20-07-2026 04:07
U035,visited_site,20-07-2026 03:53
U052,email_verified,20-07-2026 04:48
U056,email_verified,20-07-2026 04:54
U142,signup_started,20-07-2026 03:55
U114,visited_site,20-07-2026 03:39
U045,visited_site,20-07-2026 03:58
U195,visited_site,20-07-2026 03:58
U163,visited_site,20-07-2026 03:54
U086,visited_site,20-07-2026 03:33
U146,signup_started,20-07-2026 03:59
U017,visited_site,20-07-2026 03:41
U075,email_verified,20-07-2026 04:47
U026,signup_started,20-07-2026 03:45
U017,signup_started,20-07-2026 04:22
U107,purchase_completed,20-07-2026 04:55
U047,email_verified,20-07-2026 04:46
U022,signup_started,20-07-2026 04:24
U006,signup_started,20-07-2026 03:56
U109,visited_site,20-07-2026 03:53
U095,signup_started,20-07-2026 04:13
U011,signup_started,20-07-2026 04:04
U169,details_filled,20-07-2026 04:00
U041,visited_site,20-07-2026 03:34
U134,visited_site,20-07-2026 03:45
U124,signup_started,20-07-2026 04:13
U023,visited_site,20-07-2026 03:46
U005,signup_started,20-07-2026 03:54
U015,visited_site,20-07-2026 03:40
U021,signup_started,20-07-2026 04:05
U078,email_verified,20-07-2026 04:34
U004,visited_site,20-07-2026 04:09
U101,visited_site,20-07-2026 04:09
U189,details_filled,20-07-2026 04:13
U025,signup_started,20-07-2026 04:18
U057,visited_site,20-07-2026 03:59
U067,email_verified,20-07-2026 04:18
U154,details_filled,20-07-2026 04:12
U078,signup_started,20-07-2026 04:14
U164,details_filled,20-07-2026 04:27
U016,visited_site,20-07-2026 03:31
U137,signup_started,20-07-2026 03:58
U013,signup_started,20-07-2026 04:20
U085,signup_started,20-07-2026 04:09
U062,visited_site,20-07-2026 03:56
U072,signup_started,20-07-2026 04:24
U035,signup_started,20-07-2026 04:18
U014,signup_started,20-07-2026 03:56
U082,signup_started,20-07-2026 03:47
U096,visited_site,20-07-2026 03:53
U053,email_verified,20-07-2026 04:36
U088,signup_started,20-07-2026 03:53
U113,visited_site,20-07-2026 04:02
U031,signup_started,20-07-2026 04:21
U027,signup_started,20-07-2026 04:01
U099,purchase_completed,20-07-2026 04:32
U138,visited_site,20-07-2026 03:36
U074,email_verified,20-07-2026 04:28
U174,details_filled,20-07-2026 04:36
U118,signup_started,20-07-2026 04:18
U143,visited_site,20-07-2026 04:02
U018,visited_site,20-07-2026 03:35
U020,visited_site,20-07-2026 03:44
U103,visited_site,20-07-2026 03:35
U087,email_verified,20-07-2026 04:52
U100,purchase_completed,20-07-2026 04:35
U099,signup_started,20-07-2026 04:09
U054,email_verified,20-07-2026 04:27
U144,visited_site,20-07-2026 03:59
U004,signup_started,20-07-2026 03:53
U098,visited_site,20-07-2026 03:42
U078,visited_site,20-07-2026 03:42
U047,visited_site,20-07-2026 03:47
U148,visited_site,20-07-2026 03:40
U037,signup_started,20-07-2026 04:13
U029,signup_started,20-07-2026 04:22
U086,email_verified,20-07-2026 04:19
U028,visited_site,20-07-2026 03:38
U011,details_filled,20-07-2026 04:11
